uid,E-CPV Error,E-CPV Uncertainty,E-MHA Error,E-MHA Uncertainty,S-MHA Error,S-MHA Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_2154,1.4142135,4.254426670074463,3.1622777,0.3311253573745489,3.1622777,0.5000869730920074,1,0,2,3,2
PHD_2158,3.1622777,4.449976897239685,3.1622777,0.3511735354783013,1.4142135,0.2352968822737484,1,0,2,3,4
PHD_217,5.0990195,1.9121246814727784,4.0,0.8421839540824294,5.0990195,1.4660402405749893,1,0,0,0,0
PHD_2194,61.846584,35.76085777282715,77.00649,0.1423629044846165,56.32051,0.1238746506951292,1,0,4,4,4
PHD_220,3.0,2.4128990173339844,2.828427,0.2945032224059105,4.2426405,0.4367813239078428,1,0,0,3,3
PHD_2206,2.236068,2.480983638763428,1.4142135,0.593993067741394,1.4142135,0.9009238651546104,1,0,0,1,1
PHD_2212,5.0,5.937710428237915,7.071068,0.3792653985321522,6.0827627,1.0559549077963963,1,0,3,2,0
PHD_2217,4.2426405,2.251166558265686,5.0,0.8926114737987518,5.656854,1.155506731957055,1,0,0,0,0
PHD_2223,4.1231055,3.168323850631714,3.1622777,0.3897117912769318,8.246211,0.3950655311711469,1,0,1,2,3
PHD_2236,4.472136,3.142507863044739,5.0,0.677442654967308,4.2426405,1.2227799937072117,1,0,1,0,0
PHD_2239,6.3245554,2.178584408760071,9.219544,0.3540308810770511,6.708204,0.5670917572325369,1,0,0,3,2
PHD_2243,6.0,3.860892534255981,4.1231055,0.7457443237304687,4.1231055,1.1995724590632248,1,0,2,0,0
PHD_2245,5.8309517,2.675787663459778,4.2426405,0.8698627918958663,4.1231055,0.9966382438731438,1,0,1,0,0
PHD_2252,4.1231055,8.37707061767578,0.0,0.31239213119552,9.848858,0.0879146865709659,1,0,3,3,4
PHD_2253,2.236068,2.130056309700012,2.236068,0.7354473501443863,3.1622777,1.0488442731708922,1,0,0,0,0
PHD_2259,12.806249,5.686470603942871,9.848858,0.0969497269019484,12.369317,0.1326719669951177,1,0,3,4,4
PHD_226,5.656854,0.7656854152679443,5.656854,0.3589362025260925,5.8309517,0.4911469666638702,1,0,0,3,2
PHD_2275,4.472136,2.903348207473755,4.472136,0.3867727592587471,3.6055512,0.8982683480742506,1,0,1,2,1
PHD_2276,3.0,4.112594199180603,2.236068,0.2873100273311138,3.0,0.5216273869042434,1,0,2,3,2
PHD_2278,3.1622777,2.224483513832092,3.6055512,0.8235982775688171,2.828427,1.068097619204916,1,0,0,0,0
PHD_229,8.062258,6.867766904830932,6.0827627,0.28887355690822,6.0,0.6892319605757328,1,0,3,3,1
PHD_2295,13.038404,3.395923113822937,12.806249,0.5807189911603927,10.0,0.5807315899246501,1,0,2,1,2
PHD_2319,8.062258,3.435165452957153,10.0,0.7646946251392365,8.485281,0.9839751056587775,1,0,2,0,0
PHD_2328,2.828427,1.8128990173339845,4.472136,0.5949656724929809,3.0,0.781475435636903,1,0,0,1,1
PHD_233,2.236068,2.617356896400452,1.4142135,0.8003270924091339,1.4142135,1.6147541542360184,1,0,1,0,0
PHD_2354,8.062258,2.92086775302887,6.708204,0.6326082460582256,6.708204,1.0414073702977125,1,0,1,1,0
PHD_2358,5.8309517,3.38667106628418,5.0,0.5906478825025261,9.219544,0.68604138749686,1,0,2,1,1
PHD_239,5.8309517,2.8305964946746824,5.0,0.637485159188509,5.8309517,1.518981960353561,1,0,1,1,0
PHD_2431,4.2426405,3.5675764322280883,7.071068,0.2577061560004949,8.602325,0.623541758983957,1,0,2,3,2
PHD_2458,10.440307,3.919048309326172,11.045361,0.2190773475973401,10.049875,0.8024264322311648,1,0,2,3,1
PHD_2469,7.2111025,2.2957417011260985,5.8309517,0.7935783684253692,5.3851647,0.9424052706853469,1,0,0,0,1
PHD_2496,6.708204,2.697056245803833,5.3851647,0.9827209692448378,5.0,1.3412218476197375,1,0,1,0,0
PHD_2506,9.486833,2.814213514328003,7.28011,0.5255613615736365,6.708204,0.3570510878566478,1,0,1,1,3
PHD_2514,3.0,3.2907485961914062,3.1622777,0.6300635516643525,3.1622777,0.955080661512674,1,0,2,1,1
PHD_253,7.071068,34.3343204498291,8.944272,0.2447287002229131,87.823685,0.1268130424525207,1,0,4,3,4
PHD_2537,5.0,2.0305964946746826,5.0,0.8321843564510345,4.1231055,1.3087176861528886,1,0,0,0,0
PHD_2540,34.928497,42.82566337585449,13.0,0.1672052350826561,9.219544,0.3112424313815384,1,0,4,4,3
PHD_256,5.0,2.057076644897461,5.656854,0.8541286647319793,3.1622777,0.7834936349284377,1,0,0,0,1
PHD_259,6.4031243,2.836408495903015,6.708204,0.4175993382930755,6.708204,0.3444463332105903,1,0,1,2,3
PHD_260,25.0,38.93648147583008,13.453624,0.1315925079397857,19.209373,0.0652934168888479,1,0,4,4,4
